date_日期,price_价格
2025-03-21,101.63
2025-03-22,101.63
2025-03-23,101.63
2025-03-24,101.63
2025-03-25,101.63
2025-03-26,101.63
2025-03-27,101.63
2025-03-28,101.63
2025-03-31,101.63
2025-04-01,101.63
2025-04-02,101.63
2025-04-03,101.63
2025-04-04,101.63
2025-04-05,101.63
2025-04-06,101.63
2025-04-07,101.63
2025-04-08,101.63
2025-04-09,101.63
2025-04-10,101.63
2025-04-11,101.63
2025-04-12,101.63
2025-04-13,101.63
2025-04-14,101.63
2025-04-15,101.63
2025-04-16,101.63
2025-04-17,101.63
2025-04-18,101.63
2025-04-19,101.63
2025-04-20,101.63
2025-04-21,101.63
2025-04-22,101.63
2025-04-23,101.63
2025-04-24,101.63
2025-04-25,101.63
2025-04-26,101.63
2025-04-27,101.63
2025-04-28,101.63
2025-04-29,101.63
2025-04-30,101.63
